iter	Passed	Remaining
0	136	136588
1	137	68702
2	138	46169
3	139	34813
4	140	28004
5	141	23445
6	142	20220
7	143	17777
8	144	15885
9	145	14359
10	145	13109
11	146	12068
12	147	11187
13	148	10437
14	149	9786
15	149	9213
16	150	8705
17	151	8252
18	152	7856
19	152	7492
20	153	7161
21	154	6866
22	155	6603
23	156	6358
24	157	6130
25	157	5918
26	158	5720
27	159	5537
28	160	5365
29	160	5205
30	161	5052
31	162	4910
32	163	4778
33	163	4654
34	164	4536
35	165	4425
36	166	4322
37	166	4224
38	167	4128
39	168	4038
40	169	3954
41	169	3873
42	170	3796
43	171	3722
44	172	3651
45	172	3582
46	173	3516
47	174	3454
48	175	3397
49	176	3344
50	177	3294
51	177	3242
52	178	3190
53	179	3140
54	179	3090
55	180	3044
56	181	2997
57	181	2952
58	182	2910
59	183	2870
60	184	2833
61	184	2797
62	185	2762
63	186	2729
64	187	2696
65	188	2663
66	188	2631
67	189	2600
68	190	2569
69	191	2540
70	191	2511
71	192	2484
72	193	2456
73	194	2430
74	194	2404
75	195	2380
76	196	2355
77	197	2332
78	198	2308
79	198	2286
80	199	2267
81	200	2246
82	201	2221
83	201	2200
84	202	2181
85	203	2161
86	204	2142
87	204	2123
88	205	2104
89	206	2086
90	207	2068
91	207	2051
92	208	2034
93	209	2017
94	209	2000
95	210	1983
96	211	1967
97	212	1952
98	212	1937
99	213	1925
100	214	1913
101	216	1902
102	216	1888
103	217	1874
104	218	1859
105	218	1845
106	219	1832
107	220	1818
108	220	1805
109	221	1792
110	222	1780
111	222	1767
112	223	1754
113	224	1742
114	224	1730
115	225	1720
116	226	1708
117	227	1697
118	228	1687
119	228	1677
120	229	1668
121	230	1658
122	231	1649
123	232	1639
124	232	1629
125	233	1619
126	233	1608
127	234	1598
128	235	1589
129	236	1579
130	236	1570
131	237	1561
132	238	1551
133	238	1542
134	239	1533
135	240	1525
136	240	1517
137	241	1509
138	242	1501
139	243	1494
140	244	1489
141	245	1480
142	245	1473
143	246	1466
144	247	1458
145	248	1450
146	248	1443
147	249	1436
148	250	1429
149	250	1422
150	251	1415
151	252	1407
152	253	1400
153	253	1393
154	254	1387
155	255	1380
156	255	1373
157	256	1367
158	257	1360
159	258	1354
160	258	1347
161	259	1342
162	260	1337
163	261	1331
164	261	1325
165	262	1319
166	263	1313
167	263	1307
168	264	1300
169	265	1295
170	265	1289
171	266	1283
172	267	1277
173	267	1272
174	268	1266
175	269	1260
176	269	1255
177	270	1249
178	271	1243
179	271	1238
180	272	1233
181	273	1228
182	274	1223
183	274	1219
184	275	1214
185	276	1209
186	277	1205
187	278	1201
188	278	1197
189	279	1193
190	281	1190
191	282	1187
192	282	1183
193	283	1178
194	284	1174
195	285	1169
196	285	1164
197	286	1160
198	287	1156
199	288	1152
200	289	1148
201	289	1145
202	290	1140
203	291	1136
204	292	1132
205	292	1128
206	293	1124
207	294	1120
208	294	1116
209	295	1112
210	296	1108
211	297	1104
212	297	1100
213	298	1096
214	299	1092
215	299	1088
216	300	1084
217	301	1081
218	302	1077
219	303	1074
220	304	1071
221	305	1070
222	306	1066
223	307	1063
224	307	1060
225	308	1056
226	309	1053
227	310	1050
228	311	1047
229	311	1044
